,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,teamWon,comeback,margin
612,612,Germany,1995-11-08,Dortmund,Kaiserslautern,1.0,1.0,D,0.0,0.0,D,1995-1996,Blank,False,0
613,613,Germany,1995-11-08,Stuttgart,Uerdingen,0.0,0.0,D,0.0,0.0,D,1995-1996,Blank,False,0
614,614,Germany,1995-11-08,Werder Bremen,Dusseldorf,1.0,1.0,D,1.0,1.0,D,1995-1996,Blank,False,0
615,615,Germany,1995-12-08,Bayern Munich,Hamburg,3.0,2.0,H,1.0,1.0,D,1995-1996,Bayern Munich,False,0
616,616,Germany,1995-12-08,Ein Frankfurt,Karlsruhe,2.0,2.0,D,1.0,1.0,D,1995-1996,Blank,False,0
617,617,Germany,1995-12-08,FC Koln,Schalke 04,0.0,1.0,A,0.0,0.0,D,1995-1996,Schalke 04,False,0
618,618,Germany,1995-12-08,Hansa Rostock,Leverkusen,1.0,2.0,A,0.0,2.0,A,1995-1996,Leverkusen,False,0
619,619,Germany,1995-12-08,St Pauli,Munich 1860,4.0,2.0,H,1.0,1.0,D,1995-1996,St Pauli,False,0
620,620,Germany,1995-08-13,M'gladbach,Freiburg,1.0,0.0,H,0.0,0.0,D,1995-1996,M'gladbach,False,0
621,621,Germany,1995-08-18,Freiburg,St Pauli,0.0,2.0,A,0.0,0.0,D,1995-1996,St Pauli,False,0
622,622,Germany,1995-08-18,Hamburg,Werder Bremen,3.0,3.0,D,2.0,1.0,H,1995-1996,Blank,Werder Bremen,1
623,623,Germany,1995-08-18,Schalke 04,Hansa Rostock,1.0,3.0,A,0.0,1.0,A,1995-1996,Hansa Rostock,False,0
624,624,Germany,1995-08-19,Kaiserslautern,M'gladbach,1.0,3.0,A,0.0,1.0,A,1995-1996,M'gladbach,False,0
625,625,Germany,1995-08-19,Karlsruhe,Bayern Munich,2.0,6.0,A,1.0,3.0,A,1995-1996,Bayern Munich,False,0
626,626,Germany,1995-08-19,Leverkusen,Dortmund,1.0,1.0,D,0.0,0.0,D,1995-1996,Blank,False,0
627,627,Germany,1995-08-19,Munich 1860,Stuttgart,1.0,1.0,D,1.0,0.0,H,1995-1996,Blank,Stuttgart,1
628,628,Germany,1995-08-19,Uerdingen,Ein Frankfurt,1.0,1.0,D,0.0,1.0,A,1995-1996,Blank,Uerdingen,1
629,629,Germany,1995-08-20,Dusseldorf,FC Koln,1.0,1.0,D,1.0,0.0,H,1995-1996,Blank,FC Koln,1
630,630,Germany,1995-08-29,FC Koln,Hamburg,3.0,2.0,H,1.0,0.0,H,1995-1996,FC Koln,False,0
631,631,Germany,1995-08-29,Hansa Rostock,Dortmund,3.0,2.0,H,1.0,1.0,D,1995-1996,Hansa Rostock,False,0
632,632,Germany,1995-08-29,M'gladbach,Leverkusen,0.0,0.0,D,0.0,0.0,D,1995-1996,Blank,False,0
633,633,Germany,1995-08-29,St Pauli,Kaiserslautern,1.0,2.0,A,0.0,2.0,A,1995-1996,Kaiserslautern,False,0
634,634,Germany,1995-08-29,Werder Bremen,Karlsruhe,1.0,0.0,H,0.0,0.0,D,1995-1996,Werder Bremen,False,0
635,635,Germany,1995-08-30,Bayern Munich,Uerdingen,2.0,0.0,H,1.0,0.0,H,1995-1996,Bayern Munich,False,0
636,636,Germany,1995-08-30,Ein Frankfurt,Munich 1860,4.0,2.0,H,0.0,0.0,D,1995-1996,Ein Frankfurt,False,0
637,637,Germany,1995-08-30,Schalke 04,Dusseldorf,1.0,1.0,D,0.0,1.0,A,1995-1996,Blank,Schalke 04,1
638,638,Germany,1995-08-30,Stuttgart,Freiburg,3.0,1.0,H,2.0,1.0,H,1995-1996,Stuttgart,False,0
639,639,Germany,1995-01-09,Dortmund,M'gladbach,2.0,1.0,H,0.0,1.0,A,1994-1995,Dortmund,Dortmund,2
640,640,Germany,1995-01-09,Karlsruhe,FC Koln,1.0,0.0,H,0.0,0.0,D,1994-1995,Karlsruhe,False,0
641,641,Germany,1995-02-09,Dusseldorf,Hansa Rostock,2.0,2.0,D,0.0,1.0,A,1994-1995,Blank,Dusseldorf,1
642,642,Germany,1995-02-09,Freiburg,Ein Frankfurt,2.0,0.0,H,1.0,0.0,H,1994-1995,Freiburg,False,0
643,643,Germany,1995-02-09,Hamburg,Schalke 04,1.0,1.0,D,0.0,1.0,A,1994-1995,Blank,Hamburg,1
644,644,Germany,1995-02-09,Kaiserslautern,Stuttgart,1.0,1.0,D,1.0,0.0,H,1994-1995,Blank,Stuttgart,1
645,645,Germany,1995-02-09,Leverkusen,St Pauli,1.0,1.0,D,0.0,0.0,D,1994-1995,Blank,False,0
646,646,Germany,1995-02-09,Munich 1860,Bayern Munich,0.0,2.0,A,0.0,0.0,D,1994-1995,Bayern Munich,False,0
647,647,Germany,1995-02-09,Uerdingen,Werder Bremen,3.0,0.0,H,1.0,0.0,H,1994-1995,Uerdingen,False,0
648,648,Germany,1995-08-09,FC Koln,Uerdingen,0.0,0.0,D,0.0,0.0,D,1995-1996,Blank,False,0
649,649,Germany,1995-08-09,Werder Bremen,Munich 1860,2.0,0.0,H,0.0,0.0,D,1995-1996,Werder Bremen,False,0
650,650,Germany,1995-09-09,Bayern Munich,Freiburg,2.0,0.0,H,1.0,0.0,H,1995-1996,Bayern Munich,False,0
651,651,Germany,1995-09-09,Dusseldorf,Hamburg,2.0,2.0,D,1.0,1.0,D,1995-1996,Blank,False,0
652,652,Germany,1995-09-09,Ein Frankfurt,Kaiserslautern,3.0,1.0,H,1.0,0.0,H,1995-1996,Ein Frankfurt,False,0
653,653,Germany,1995-09-09,Hansa Rostock,M'gladbach,2.0,3.0,A,2.0,2.0,D,1995-1996,M'gladbach,False,0
654,654,Germany,1995-09-09,Schalke 04,Karlsruhe,2.0,1.0,H,1.0,0.0,H,1995-1996,Schalke 04,False,0
655,655,Germany,1995-09-09,St Pauli,Dortmund,0.0,3.0,A,0.0,0.0,D,1995-1996,Dortmund,False,0
656,656,Germany,1995-09-09,Stuttgart,Leverkusen,1.0,4.0,A,0.0,0.0,D,1995-1996,Leverkusen,False,0
657,657,Germany,1995-09-15,Kaiserslautern,Bayern Munich,2.0,3.0,A,1.0,2.0,A,1995-1996,Bayern Munich,False,0
658,658,Germany,1995-09-15,Karlsruhe,Dusseldorf,3.0,1.0,H,1.0,1.0,D,1995-1996,Karlsruhe,False,0
659,659,Germany,1995-09-16,Dortmund,Stuttgart,6.0,3.0,H,4.0,1.0,H,1995-1996,Dortmund,False,0
660,660,Germany,1995-09-16,Freiburg,Werder Bremen,0.0,1.0,A,0.0,0.0,D,1995-1996,Werder Bremen,False,0
661,661,Germany,1995-09-16,Leverkusen,Ein Frankfurt,2.0,0.0,H,1.0,0.0,H,1995-1996,Leverkusen,False,0
